source,year,season,species,size,address,street,latitude,longitude,dbh,condition,status,year_removed,year_pruned,origin,fid_source,is_backup,overhead_wires,notes
Historical (pre-2019),2009,,Amazing Grace,,650 TAYLOR ST,TAYLOR,40.1391624,-75.52475875,4.099999905,Good,Alive,,,Ornamental,71.0,False,,
Historical (pre-2019),2009,,Canada Red Chokecherry,,232 ANN ST,ANN,40.13982532,-75.51851074,6.300000191,Good,Alive,,,Ornamental,681.0,False,,
Historical (pre-2019),2009,,Canada Red Chokecherry,,232 ANN ST,ANN,40.13980291,-75.51858235,6.300000191,Good,Alive,,,Ornamental,682.0,False,,
Historical (pre-2019),2009,,Canada Red Chokecherry,,232 ANN ST,ANN,40.13978169,-75.51866869,6.400000095,Good,Alive,,,Ornamental,683.0,False,,
Historical (pre-2019),2009,,Canada Red Chokecherry,,637 NUTT RD,NUTT,40.13134949,-75.532672,4.5,Good,Alive,,,Ornamental,339.0,False,,
Historical (pre-2019),2009,,Canada Red Chokecherry,,637 NUTT RD,NUTT,40.13137406,-75.53274981,3.299999952,Good,Alive,,,Ornamental,340.0,False,,
Historical (pre-2019),2009,,European Hornbeam,,527 VANDERSLICE ST,VANDERSLICE,40.13657876,-75.52241964,4.400000095,Good,Alive,,,Ornamental,96.0,False,,
Historical (pre-2019),2009,,European Hornbeam,,339 HIGH ST,HIGH,40.13804352,-75.51807964,4.300000191,Good,Alive,,,Ornamental,981.0,False,,
Historical (pre-2019),2009,,Flame Amur Maple,,242 FIRST AV,FIRST,40.1291459,-75.51636683,3.799999952,Good,Alive,,,Native,105.0,False,,
Historical (pre-2019),2009,,Flame Amur Maple,,603 NUTT RD,NUTT,40.13083177,-75.53131267,3.799999952,Good,Alive,,,Native,134.0,False,,
Historical (pre-2019),2009,,Flame Amur Maple,,613 NUTT RD,NUTT,40.13102538,-75.53181948,2.099999905,Fair,Alive,,,Native,336.0,False,,
