"Tree Id",Address,"New Data Field","Common Name","Root Issues","Scientific Name",Condition,"Crown/Branch Issues",Status,"Tree Work-Pruning","Trunk Issues","Tree Work-PHC","Tree Work-Other","Primary ID",Targets,"Client Site","Site Factors","Main Issue - Trunk","Main Issue - Branch","Main Issue - Root",Priority,"Health Issues","Load on Branch Defect","Load on Root Defect","Load on Trunk Defect","Fall Distance/Dead-Weak Branches","Likelihood of Failure - Trunk","Likelihood of Failure - Roots","Likelihood of Impact - Roots","Likelihood of Failure - Branches","Likelihood of Impact - Trunk","Likelihood of Failure and Impact - Roots","Likelihood of Failure and Impact - Trunk","Likelihood of Impact - Crown/Branches",AB,"Tree Work-Preservation",Monitor,"Consequences - Roots","Likelihood of Failure and Impact - Branches","Consequences - Trunk",Years,"Risk Rating - Trunk","Risk Rating - Roots","Consequences - Branches",Cycle,Grove,"Risk Rating - Branches","Residence Name","Phone Number",Email,"Tag Number",Veteran/Historic/Memorial?,"Next Inspection","Last Inspection","Inspection Cycle",Notes,"Address Number","Address Street",City,Code,Cultivar,Genus,"Land Use","Land Type","Location on Site",DBH,"DBH Stem 1","DBH Stem 2","DBH Stem 3","DBH Stem 4","DBH Stem 5","DBH Stem 6",User,"Number of Stems (Multi Calc)","Last Modified User","DBH Range","Date Added","Tree Height (Estimated)","Height Range","Last Modified","TPZ Ratio","Tree Protection Zone (TPZ)","CRZ Ratio","Critical Root Zone (CRZ)","Crown Spread","Canopy Shape",Observations-Characteristics,"Pest Management Observations","Observations-Biotic Pest",Observations-Abiotic,"Observation Comments",Longitude,Latitude,Photos,"Tree Work Preservation","Overall Risk Rating","Mitigation Options","Residual Risk",Final/Preliminary?,"Inspection Interval","Sidewalk Infringement","Tree Well Rating","Well Covering",Dimensions
4178,"411 West Ashbridge Street",,"Pin oak",,"Quercus palustris",Fair,,"Condemnation Request","Crown Clean",,,,14255,,"Borough of Phoenixville",,,,,High,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,411,"West Ashbridge Street","West Chester",QUPA,,Quercus,"Single Family",Street,West,41,,,,,,,mike,1,mike,>30in,1/24/2022,75,75ft-100ft,1/24/2022,1,41,1,20.5,,Symmetrical,"Broken Limb, Cavity, Poor Taper, Topped",,"Bacterial Leaf Scorch",,,-75.61812004606,39.964346467461,"image.jpg_pg_61ef0704888a8.jpg,image.jpg_pg_61ef0719b85c6.jpg",,,,,,,N/A,,,
4177,"235 City Line Avenue",,Basswood,,"Tilia  species",Good,,Alive,"Structure Prune",,,,14142,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2765,,,,,,235,"City Line Avenue",Phoenixville,TI,,Tilia,"Single Family",Street,North,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.517857782826,40.119836025937,16415812407764506332731554311967.jpg_pg_61d88acac463b.jpg,,,,,,,,,,
4176,"228 Griffen Street",,"Red maple",,"Acer rubrum",Good,,Alive,"Structure Prune",,,,14141,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2763,,,,,,228,"Griffen Street",Phoenixville,ACRU,,Acer,"Single Family",Street,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.515793738615,40.122354254219,16415808107435722073086172188606.jpg_pg_61d8891f05073.jpg,,,,,,,,,,
4175,"401 Main Street",,"Buckeye Species",,"Aesculus	sp",Good,,Alive,"Structure Prune",,,,14140,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2762,,,,,,401,"Main Street",Phoenixville,AE,,Aesculus,"Park/ Vacant/ Other",Park,East,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.511996097123,40.128460418571,16415803264863954918882360449207.jpg_pg_61d88739e0f03.jpg,,,,,,,,,,
4174,"171 2nd Avenue",,"American mountain ash",,"Sorbus americana",Good,,Alive,"Structure Prune",,,,14139,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2761,,,,,,171,"2nd Avenue",Phoenixville,SOAM,,Sorbus,"Park/ Vacant/ Other",Park,North,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.513157417482,40.128605413897,16415800999982589327812666124087.jpg_pg_61d88658b9e24.jpg,,,,,,,,,,
4173,"148 3rd Avenue",,"American basswood",,"Tilia americana",Good,,Alive,"Structure Prune",,,,14138,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2760,,,,,,148,"3rd Avenue",Phoenixville,TIAM,,Tilia,"Park/ Vacant/ Other",Park,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.51297701119,40.128028330648,16415797051651838953752146507140.jpg_pg_61d884c776253.jpg,,,,,,,,,,
4172,"152 3rd Avenue",,"Black cherry",,"Prunus serotina",Good,,Alive,"Structure Prune",,,,14137,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2759,,,,,,152,"3rd Avenue",Phoenixville,PRSE1,,Prunus,"Park/ Vacant/ Other",Park,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.513125462548,40.128001562946,16415795869406076416743066646234.jpg_pg_61d8845c0f2de.jpg,,,,,,,,,,
4171,"South Main Street",,Yellowwood,,"Cladrastis kentukea",Good,,Alive,"Structure Prune",,,,14136,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2758,,,,,,,"South Main Street",Phoenixville,CLLU,,Cladrastis,"Park/ Vacant/ Other",Park,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.513579408702,40.127886888983,16415793747447682593907767496138.jpg_pg_61d883887fda5.jpg,,,,,,,,,,
4170,"209 Grant Street",,Hackberry,,"Ulmaceae Celtis",Good,,Alive,"Structure Prune",,,,14135,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2757,,,,,,209,"Grant Street",Phoenixville,CEOC,,Ulmaceae,"Park/ Vacant/ Other",Park,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.517877775491,40.14191546957,16415783361171609893881989345455.jpg_pg_61d87f7084d5d.jpg,,,,,,,,,,
4169,"303 Grant Street",,Hackberry,,"Ulmaceae Celtis",Good,,Alive,"Structure Prune",,,,14134,,"Borough of Phoenixville",,,,,Low,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,2756,,,,,,303,"Grant Street",Phoenixville,CEOC,,Ulmaceae,"Park/ Vacant/ Other",Park,South,1,,,,,,,mike,,mike,0-3in,6/25/2021,,N/A,1/7/2022,,,,,,Symmetrical,"Planting Materials present",,,,,-75.517976035748,40.141899872826,1641578254217943281921046432576.jpg_pg_61d87f1fad9d9.jpg,,,,,,,,,,
